name,url,image
Binghamton University,https://www.bachelorsportal.com/universities/11882/binghamton-university.html,"https://storage-prtl-co.imgix.net/mp/5de0e6275916.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Binus University International (BI),https://www.bachelorsportal.com/universities/15662/binus-university-international.html,
Birmingham City University,https://www.bachelorsportal.com/universities/416/birmingham-city-university.html,
Biruni University,https://www.bachelorsportal.com/universities/24220/biruni-university.html,
Birzeit University,https://www.bachelorsportal.com/universities/16631/birzeit-university.html,
Bishop's University,https://www.bachelorsportal.com/universities/16166/bishops-university.html,
Black Hills State University,https://www.bachelorsportal.com/universities/17385/black-hills-state-university.html,
Blackburn College,https://www.bachelorsportal.com/universities/12719/blackburn-college.html,
Blanquerna - Universitat Ramon Llull,https://www.bachelorsportal.com/universities/11819/blanquerna-universitat-ramon-llull.html,
Bluffton University,https://www.bachelorsportal.com/universities/17426/bluffton-university.html,
BML Munjal University,https://www.bachelorsportal.com/universities/23845/bml-munjal-university.html,
Bogazici University,https://www.bachelorsportal.com/universities/460/bogazici-university.html,
Boise State University,https://www.bachelorsportal.com/universities/14237/boise-state-university.html,
Bond University,https://www.bachelorsportal.com/universities/11887/bond-university.html,
Bonn-Rhein-Sieg University of Applied Sciences,https://www.bachelorsportal.com/universities/1309/bonn-rhein-sieg-university-of-applied-sciences.html,
Boston Architectural College,https://www.bachelorsportal.com/universities/16917/boston-architectural-college.html,
Boston College,https://www.bachelorsportal.com/universities/11894/boston-college.html,
Boston University,https://www.bachelorsportal.com/universities/1014/boston-university.html,
Bournemouth University,https://www.bachelorsportal.com/universities/158/bournemouth-university.html,"https://storage-prtl-co.imgix.net/mp/5de0e721f4bc.png?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Bowdoin College,https://www.bachelorsportal.com/universities/14232/bowdoin-college.html,
Box Hill Institute,https://www.bachelorsportal.com/universities/24214/box-hill-institute.html,
BRAC University,https://www.bachelorsportal.com/universities/12444/brac-university.html,
Bradley University,https://www.bachelorsportal.com/universities/17021/bradley-university.html,
Brandeis University,https://www.bachelorsportal.com/universities/11548/brandeis-university.html,
Brandon University,https://www.bachelorsportal.com/universities/17141/brandon-university.html,
Bratislava International School of Liberal Arts,https://www.bachelorsportal.com/universities/24200/bratislava-international-school-of-liberal-arts.html,
Bratislava University of Economics and Business,https://www.bachelorsportal.com/universities/1344/bratislava-university-of-economics-and-business.html,"https://storage-prtl-co.imgix.net/endor/organisations/1344/images/1748894441_euba_eng_2025_1000x1000.jpg?fit=fill&fill=solid&fill-color=00FFFFFF&w=48&h=48&auto=format,compress"
Braunschweig University of Technology,https://www.bachelorsportal.com/universities/536/braunschweig-university-of-technology.html,
